 146: max:0.750, min:0.500, mean:0.631
 147: max:0.750, min:0.464, mean:0.647
 148: max:0.750, min:0.536, mean:0.652
 149: max:0.750, min:0.500, mean:0.655
 150: max:0.750, min:0.571, mean:0.663
 151: max:0.750, min:0.536, mean:0.663
 152: max:0.750, min:0.536, mean:0.662
 153: max:0.750, min:0.500, mean:0.659
 154: max:0.750, min:0.500, mean:0.667
 155: max:0.750, min:0.571, mean:0.661
 156: max:0.750, min:0.571, mean:0.666
 157: max:0.714, min:0.500, mean:0.665
 158: max:0.714, min:0.571, mean:0.669
 159: max:0.714, min:0.536, mean:0.664
 160: max:0.714, min:0.571, mean:0.661
 161: max:0.714, min:0.571, mean:0.661
 162: max:0.714, min:0.500, mean:0.656
 163: max:0.750, min:0.500, mean:0.651
 164: max:0.750, min:0.536, mean:0.653
 165: max:0.750, min:0.571, mean:0.655
 166: max:0.714, min:0.500, mean:0.654
 167: max:0.714, min:0.571, mean:0.651
 168: max:0.714, min:0.536, mean:0.648
 169: max:0.714, min:0.536, mean:0.655
 170: max:0.750, min:0.500, mean:0.655
 171: max:0.750, min:0.571, mean:0.658
 172: max:0.750, min:0.571, mean:0.656
 173: max:0.750, min:0.536, mean:0.657
 174: max:0.750, min:0.571, mean:0.656
 175: max:0.714, min:0.571, mean:0.652
 176: max:0.714, min:0.536, mean:0.649
 177: max:0.714, min:0.536, mean:0.646
 178: max:0.714, min:0.536, mean:0.646
 179: max:0.714, min:0.571, mean:0.648
 180: max:0.714, min:0.500, mean:0.646
 181: max:0.714, min:0.500, mean:0.648
 182: max:0.714, min:0.536, mean:0.638
 183: max:0.714, min:0.500, mean:0.641
 184: max:0.714, min:0.464, mean:0.633
 185: max:0.714, min:0.464, mean:0.641
 186: max:0.714, min:0.536, mean:0.643
 187: max:0.714, min:0.500, mean:0.640
 188: max:0.714, min:0.464, mean:0.647
 189: max:0.714, min:0.464, mean:0.647
 190: max:0.714, min:0.500, mean:0.646
 191: max:0.714, min:0.500, mean:0.641
 192: max:0.714, min:0.536, mean:0.649
 193: max:0.714, min:0.500, mean:0.646
 194: max:0.750, min:0.536, mean:0.647
 195: max:0.750, min:0.536, mean:0.651
 196: max:0.750, min:0.571, mean:0.655
 197: max:0.750, min:0.536, mean:0.662
 198: max:0.750, min:0.571, mean:0.663
 199: max:0.750, min:0.536, mean:0.662
 200: max:0.786, min:0.500, mean:0.660
 201: max:0.750, min:0.536, mean:0.666
 202: max:0.750, min:0.536, mean:0.677
 203: max:0.750, min:0.607, mean:0.678
 204: max:0.750, min:0.571, mean:0.674
 205: max:0.750, min:0.536, mean:0.667
 206: max:0.750, min:0.571, mean:0.672
 207: max:0.750, min:0.536, mean:0.680
 208: max:0.786, min:0.536, mean:0.678
 209: max:0.786, min:0.536, mean:0.683
 210: max:0.750, min:0.571, mean:0.683
 211: max:0.750, min:0.571, mean:0.675
 212: max:0.750, min:0.571, mean:0.674
 213: max:0.750, min:0.571, mean:0.669
 214: max:0.750, min:0.536, mean:0.668
 215: max:0.750, min:0.500, mean:0.671
 216: max:0.750, min:0.571, mean:0.673
 217: max:0.750, min:0.571, mean:0.669
 218: max:0.750, min:0.536, mean:0.668
 219: max:0.750, min:0.536, mean:0.665
 220: max:0.786, min:0.571, mean:0.670
 221: max:0.786, min:0.571, mean:0.674
 222: max:0.786, min:0.607, mean:0.678
 223: max:0.786, min:0.571, mean:0.682
 224: max:0.821, min:0.536, mean:0.679
 225: max:0.786, min:0.500, mean:0.688
 226: max:0.786, min:0.571, mean:0.684
 227: max:0.821, min:0.536, mean:0.681
 228: max:0.821, min:0.536, mean:0.679
 229: max:0.821, min:0.536, mean:0.691
 230: max:0.786, min:0.571, mean:0.690
 231: max:0.786, min:0.536, mean:0.698
 232: max:0.786, min:0.571, mean:0.703
 233: max:0.786, min:0.571, mean:0.705
 234: max:0.786, min:0.571, mean:0.704
 235: max:0.786, min:0.607, mean:0.707
 236: max:0.786, min:0.536, mean:0.703
 237: max:0.786, min:0.607, mean:0.705
 238: max:0.786, min:0.607, mean:0.701
 239: max:0.786, min:0.607, mean:0.700
 240: max:0.786, min:0.571, mean:0.706
 241: max:0.786, min:0.607, mean:0.693
 242: max:0.786, min:0.571, mean:0.691
 243: max:0.786, min:0.536, mean:0.685
 244: max:0.786, min:0.571, mean:0.686
 245: max:0.786, min:0.536, mean:0.682
 246: max:0.786, min:0.571, mean:0.684
 247: max:0.786, min:0.571, mean:0.681
 248: max:0.750, min:0.536, mean:0.677
 249: max:0.750, min:0.571, mean:0.686
 250: max:0.750, min:0.536, mean:0.684
 251: max:0.750, min:0.607, mean:0.693
 252: max:0.786, min:0.571, mean:0.690
 253: max:0.750, min:0.571, mean:0.685
 254: max:0.750, min:0.536, mean:0.675
 255: max:0.750, min:0.607, mean:0.677
 256: max:0.750, min:0.571, mean:0.679
 257: max:0.750, min:0.571, mean:0.674
 258: max:0.786, min:0.571, mean:0.679
 259: max:0.786, min:0.571, mean:0.676
 260: max:0.786, min:0.536, mean:0.683
 261: max:0.786, min:0.571, mean:0.687
 262: max:0.786, min:0.500, mean:0.693
 263: max:0.750, min:0.571, mean:0.691
 264: max:0.750, min:0.607, mean:0.689
 265: max:0.750, min:0.571, mean:0.684
 266: max:0.750, min:0.571, mean:0.677
 267: max:0.750, min:0.571, mean:0.675
 268: max:0.750, min:0.571, mean:0.671
 269: max:0.750, min:0.536, mean:0.667
 270: max:0.750, min:0.571, mean:0.674
 271: max:0.714, min:0.571, mean:0.668
 272: max:0.750, min:0.571, mean:0.661
 273: max:0.750, min:0.464, mean:0.657
 274: max:0.750, min:0.536, mean:0.663
 275: max:0.750, min:0.571, mean:0.657
 276: max:0.750, min:0.536, mean:0.661
 277: max:0.750, min:0.500, mean:0.653
 278: max:0.750, min:0.500, mean:0.655
 279: max:0.750, min:0.571, mean:0.659
 280: max:0.750, min:0.536, mean:0.648
 281: max:0.750, min:0.536, mean:0.647
 282: max:0.714, min:0.464, mean:0.644
 283: max:0.714, min:0.500, mean:0.644
 284: max:0.714, min:0.500, mean:0.653
 285: max:0.714, min:0.571, mean:0.655
 286: max:0.714, min:0.536, mean:0.655
 287: max:0.750, min:0.536, mean:0.658
 288: max:0.714, min:0.571, mean:0.660
 289: max:0.714, min:0.536, mean:0.659
 290: max:0.714, min:0.500, mean:0.657
 291: max:0.750, min:0.536, mean:0.657
 292: max:0.750, min:0.536, mean:0.657
 293: max:0.750, min:0.500, mean:0.655
 294: max:0.750, min:0.536, mean:0.665
 295: max:0.750, min:0.536, mean:0.662
 296: max:0.750, min:0.536, mean:0.659
 297: max:0.750, min:0.571, mean:0.660
 298: max:0.786, min:0.536, mean:0.658
 299: max:0.750, min:0.500, mean:0.657
 300: max:0.750, min:0.571, mean:0.659
 301: max:0.750, min:0.536, mean:0.652
 302: max:0.750, min:0.500, mean:0.654
 303: max:0.750, min:0.536, mean:0.662
 304: max:0.750, min:0.536, mean:0.663
 305: max:0.714, min:0.571, mean:0.662
 306: max:0.714, min:0.536, mean:0.656
 307: max:0.714, min:0.571, mean:0.662
 308: max:0.750, min:0.536, mean:0.664
 309: max:0.750, min:0.571, mean:0.666
 310: max:0.750, min:0.536, mean:0.665
 311: max:0.714, min:0.571, mean:0.661
 312: max:0.714, min:0.607, mean:0.666
 313: max:0.750, min:0.571, mean:0.659
 314: max:0.750, min:0.536, mean:0.657
 315: max:0.750, min:0.536, mean:0.652
 316: max:0.750, min:0.536, mean:0.649
 317: max:0.750, min:0.571, mean:0.662
 318: max:0.750, min:0.536, mean:0.662
 319: max:0.750, min:0.571, mean:0.670
 320: max:0.750, min:0.536, mean:0.664
 321: max:0.750, min:0.536, mean:0.666
 322: max:0.750, min:0.536, mean:0.666
 323: max:0.750, min:0.536, mean:0.667
 324: max:0.750, min:0.571, mean:0.670
 325: max:0.750, min:0.500, mean:0.666
 326: max:0.750, min:0.536, mean:0.664
 327: max:0.750, min:0.536, mean:0.661
 328: max:0.750, min:0.536, mean:0.666
 329: max:0.750, min:0.571, mean:0.668
 330: max:0.750, min:0.536, mean:0.667
 331: max:0.750, min:0.571, mean:0.668
 332: max:0.750, min:0.536, mean:0.671
 333: max:0.750, min:0.500, mean:0.675
 334: max:0.750, min:0.536, mean:0.669
 335: max:0.750, min:0.500, mean:0.671
 336: max:0.750, min:0.536, mean:0.681
 337: max:0.750, min:0.607, mean:0.686
 338: max:0.750, min:0.536, mean:0.680
 339: max:0.750, min:0.571, mean:0.684
 340: max:0.750, min:0.536, mean:0.686
 341: max:0.750, min:0.607, mean:0.690
 342: max:0.750, min:0.571, mean:0.691
 343: max:0.750, min:0.571, mean:0.692
 344: max:0.750, min:0.571, mean:0.686
 345: max:0.750, min:0.571, mean:0.682
 346: max:0.750, min:0.607, mean:0.681
 347: max:0.786, min:0.571, mean:0.682
 348: max:0.786, min:0.571, mean:0.688
 349: max:0.786, min:0.571, mean:0.696
 350: max:0.786, min:0.571, mean:0.696
 351: max:0.786, min:0.571, mean:0.701
 352: max:0.750, min:0.607, mean:0.696
 353: max:0.750, min:0.536, mean:0.685
 354: max:0.750, min:0.607, mean:0.686
 355: max:0.786, min:0.607, mean:0.685
 356: max:0.786, min:0.536, mean:0.685
 357: max:0.786, min:0.536, mean:0.679
 358: max:0.786, min:0.536, mean:0.686
 359: max:0.786, min:0.607, mean:0.686
 360: max:0.786, min:0.607, mean:0.684
 361: max:0.786, min:0.571, mean:0.689
 362: max:0.786, min:0.571, mean:0.696
 363: max:0.786, min:0.571, mean:0.699
 364: max:0.786, min:0.571, mean:0.698
 365: max:0.750, min:0.607, mean:0.689
 366: max:0.750, min:0.571, mean:0.690
 367: max:0.750, min:0.536, mean:0.690
 368: max:0.750, min:0.607, mean:0.695
 369: max:0.750, min:0.571, mean:0.694
 370: max:0.750, min:0.571, mean:0.693
 371: max:0.750, min:0.571, mean:0.688
 372: max:0.786, min:0.571, mean:0.693
 373: max:0.750, min:0.536, mean:0.685
 374: max:0.786, min:0.536, mean:0.684
 375: max:0.786, min:0.607, mean:0.691
 376: max:0.786, min:0.607, mean:0.698
 377: max:0.786, min:0.571, mean:0.698
 378: max:0.750, min:0.607, mean:0.696
 379: max:0.750, min:0.571, mean:0.681
 380: max:0.750, min:0.571, mean:0.677
 381: max:0.750, min:0.571, mean:0.676
 382: max:0.750, min:0.536, mean:0.677
 383: max:0.786, min:0.571, mean:0.675
 384: max:0.786, min:0.571, mean:0.677
 385: max:0.750, min:0.536, mean:0.673
 386: max:0.750, min:0.536, mean:0.677
 387: max:0.750, min:0.500, mean:0.680
 388: max:0.750, min:0.571, mean:0.684
 389: max:0.750, min:0.536, mean:0.676
 390: max:0.750, min:0.571, mean:0.688
 391: max:0.786, min:0.500, mean:0.684
 392: max:0.786, min:0.571, mean:0.679
 393: max:0.786, min:0.571, mean:0.670
 394: max:0.786, min:0.500, mean:0.659
 395: max:0.750, min:0.571, mean:0.662
 396: max:0.750, min:0.536, mean:0.666
