 100: max:0.643, min:0.429, mean:0.564
 200: max:0.679, min:0.500, mean:0.608
 400: max:0.714, min:0.536, mean:0.647
 800: max:0.679, min:0.536, mean:0.633
1600: max:0.714, min:0.464, mean:0.634
3200: max:0.714, min:0.500, mean:0.630
