   1 host: '0000000000000000000000000000000000000000000000100000000000000001000000000000000000000010000000000000' (1.000) =   3
   1 para: '0000000000000000000000000000100010000000000000000000000010000000000000000000100000000000000000000000' (1.000) =   4
   2 host: '0000000000000001100000000000000000000000000000001000000100000000000001000000000000000000000011000000' (1.000) =   7
   2 para: '0000010000000000000000000000000000000000000000100100000000000010000000000000000000000010000000100000' (1.000) =   6
   3 host: '0100000000000000000100000011000000001000000000000100000001000010000000100000000000000000100000000000' (1.000) =  10
   3 para: '0000000010000000000000000000000000110100000001010000000101000000000100000000000000100100000000000000' (1.000) =  11
   4 host: '1100000011000000000001000010000000100000000000000000000000000100000110001100000000000000100000000010' (0.900) =  14
   4 para: '0000000100001000000000001000000000000010000000000100110000000000000000000010111000000000000101100000' (1.000) =  14
   5 host: '1100000011000000000001000010000000100000000000000000000000000100000110011100000000000000100000000010' (0.700) =  15
   5 para: '0010000001100000011001000001000001000001000001100000000100000001001000000011001000000000010000000000' (1.000) =  18
   6 host: '0100000111000000000001000010000010100010000000000000001000000101000110001100000000000000110000001000' (0.800) =  19
   6 para: '0000001000000000000000001000000000000011100000000100110001000100000000000010111000001100000100100000' (1.000) =  18
   7 host: '1100000011001000000001000010000000100001001000010001000000000100110110011100000000000000110000000010' (0.900) =  23
   7 para: '0010000100000100010100000000100010001000000000010010000110100011000000010000101000001000001110000101' (1.000) =  24
   8 host: '1100000011001000100001000010000000100001001000010001000000000100110110011100000000000000110000000010' (0.700) =  24
   8 para: '0010000001000000001001001011000001000011001001100000100101001011001000000011001010000010010010000000' (1.000) =  27
   9 host: '1101000011001000000001100010000000100001001000010011000000000100110110011100000001000000111000000010' (0.700) =  28
   9 para: '1010001000001100010110000000100010001001000000010010000010100011000000010000111000001000011110000101' (1.000) =  29
  10 host: '1100000011001000000001000010000010100001001000110011000000000100110111011100000000010101111000000010' (0.700) =  31
  10 para: '0101000001010000100000101000010100000010000000100100110101000100100100010011111001001100000110101000' (1.000) =  32
  11 host: '1100000011001000000001000010000000101001001110010011000000000100110111011100000000010001111000100010' (0.700) =  32
  11 para: '0101100001010000100000101000010100000010000000100100110101000100100101010111111001001100000110001000' (1.000) =  34
  12 host: '1100000011001000100001000010000010100001001000110011000000000101111111011100000010010101111001000010' (0.800) =  36
  12 para: '1010000001000100001111001011000001000011001101100100100101001101001000000011001011011011111010010000' (1.000) =  40
  13 host: '1100000011001000100011000011000010100001001000110011000000000101111111011100000010010101111001000010' (0.900) =  38
  13 para: '1010000001000100001111001011000001000011001101100100100101001101001000010011001011011011111010010000' (1.000) =  41
  14 host: '1100000011001000100011000011000010100001001000110111000000000101111111011100000010010101111001000011' (0.600) =  40
  14 para: '1010001000000101010110000110110010001001001001010011000010110011000000010010111001001100111110010101' (1.000) =  41
  15 host: '1100000011001010100011000011000010100001001000100111100000000101111111011100100010110101011001000010' (0.700) =  41
  15 para: '1010000001011100101101100011000001000011001001100100100101101111011000101011001011011011011010101000' (1.000) =  46
  16 host: '1100010011001000100011000011000010100001001010110011000000000101111111110101100010010111111001000110' (0.700) =  44
  16 para: '1010101000001101011110001111100110001001000001010111000110110011000000010010111101001000111110010101' (1.000) =  47
  17 host: '1100010011011000100011100011000010100001001010110011000000000101111111110101100010010111111001000110' (0.800) =  46
  17 para: '1010101000011101011110001111100110101001000001010111100110110010000000010010111101001000111110010101' (1.000) =  49
  18 host: '1100000011101011100011000111000010100101001000100111101100000101111111011110100010110101011001000011' (0.700) =  49
  18 para: '1010001000100100011111001000001010101001010101011010000010110011000110111010011101111000011110001101' (1.000) =  47
  19 host: '1101011011011000100011100011001010100001001110110011000000001101111111110101100010010111110001000110' (0.600) =  50
  19 para: '1010101010011101011110001111100110101001000001010111100110110010000000010010111101001000111110010101' (1.000) =  50
  20 host: '1101011011011000100011100011001010100101001110110011000000001101111111110101100010010111110001000110' (0.400) =  51
  20 para: '1010111001000101010110101110110111011001000011010011000110100011011000011010111001001110111110110111' (1.000) =  55
  21 host: '1100010011010000101010100111001110100001001011110011000000010101111111110101100110010111111001100111' (0.500) =  53
  21 para: '1011001000011101011110000111100110111001000011010111100110111010010000010010111111001000111110110101' (1.000) =  54
  22 host: '1100010011010000101010100111001110100001001010110011010000000101111111110101100111010111111001101111' (0.500) =  54
  22 para: '1010100111111100101101110011100011100011001001100100100101101111011100101011001011011011011111101000' (1.000) =  57
  23 host: '1100010011010010101010100111001110100001001010110011010000000101111111110101100111011111111001101110' (0.700) =  55
  23 para: '1110000001011110101101110001100001111011001001100100100111101111011000101011001011101111001111101000' (1.000) =  55
  24 host: '1100010011010010101010100111001110100001001010110011010000000101111111110101100111011111111101101110' (0.700) =  56
  24 para: '1110011000101101010101100110110010001101101011010011000010111111110110011111111011001100111110010111' (1.000) =  60
  25 host: '1100110011010110101010100111001110100101001010110011010000000101111111110101100111010111111001100111' (0.500) =  57
  25 para: '1010111010000001010110100110110010111001011011011111000010110011111011111010111111001000111110010111' (1.000) =  59
  26 host: '1100110011010110101010100111001111110101101010110011010000000100111111110101100111010111111001100111' (0.500) =  59
  26 para: '1110111000101101010111100110110010001101101011010011000000111111110100011110111011001100111111010111' (1.000) =  60
  27 host: '1100110011010110101010100111001111110101101010110011010000000100111111110101110111010111111001100111' (0.500) =  60
  27 para: '1110011000101101010101110110110010001111101011010011000010111111110010011111111011001100111110010111' (1.000) =  61
  28 host: '1100010011010110101010110111101110100001101010110011010000000101111111110101101111011111111101101110' (0.300) =  61
  28 para: '1110111100100111011111000111110010001101001011110011100011111011110011011010111011001100111110010111' (1.000) =  63
  29 host: '1000010011010110101010110111101110110001101010110011010000100101111111110111100111001111111101101110' (0.300) =  61
  29 para: '1110011000101101111111100110110010001111101011010011000010111111110011011111111111001100111110010111' (1.000) =  65
  30 host: '1100010011010110101010110111111110100000101010111011010000000101111111110101101111011111111101101110' (0.400) =  62
  30 para: '1010111000111111010111000111110010101101001011011011011010111011010001011110111101101100111110110111' (1.000) =  64
  31 host: '1100011011010110101010110111111110100000101010111011010000000101111111110101101111011111111101101110' (0.200) =  63
  31 para: '1010111000111011011111000111110010101101001011010011001010111111110011011101111101111100111110110111' (1.000) =  66
  32 host: '1000000011110110101011110111101110110001101010110011010000100101111111110111100111001111111101101111' (0.300) =  63
  32 para: '1110011111101111010101100011110010011111101111010011000010111111110010011111111110001100111010010111' (1.000) =  65
  33 host: '1000000011110111101011110111101110110001101010110011010000100101111111111111100111001111111101101111' (0.600) =  65
  33 para: '1110011000111101011101101110110110001111101011010011100010111111110010011111111011101100111110010111' (1.000) =  66
  34 host: '1000000011110111101011110111101110110001101010110011010000100101111111111111100111001111111101101111' (0.400) =  65
  34 para: '1010111000110111010111000111100011101101001111011011011010111011010001011110111111101110111110110111' (1.000) =  66
  35 host: '0000000011110111101011110111101110110001101110110011010000100111111111101111100111001111111111101111' (0.700) =  66
  35 para: '1010111000111011010111000111110111101101001111010111101010111111110011011101111101111100111111110111' (1.000) =  71
  36 host: '1000000111110111101011110111101110110001101010110011010000100101111111111111100111001111111101101111' (0.400) =  66
  36 para: '1110011000111111010101100111110010011111101011010011010010111111011000011111111011001101111110011111' (1.000) =  66
  37 host: '1000000111110111101011110111101110110001101010111011010000100101111111111111100111001111111101101111' (0.500) =  67
  37 para: '1111111111101111010101100011110111011111101110010111010010111111111110011111111111001100111010010111' (1.000) =  73
  38 host: '1000000111110111101011110111101110110001101010111011010000100101111111111111100111001111111111101111' (0.500) =  68
  38 para: '0010110000111111010111001111110110101111101111010011011010111111111011111101111101111100111110110011' (1.000) =  71
  39 host: '1000000111110111101011110111101110110001101010111011010100100101111111111111100111001111111111101111' (0.400) =  69
  39 para: '1110011000111101011101101111110110011111111111110011110010111110110010011111111011101100111110010111' (1.000) =  71
  40 host: '1100010011110111111001111111101110110001101010111011010000110101111111110111111111001111111111101111' (0.900) =  72
  40 para: '0010110000111111010111001111110110101111101111010011011010111111111011111101111101111100111110110111' (1.000) =  72
  41 host: '1100010011110111111001111111101110110001101010111011010001110101111111110111111111001111111111101111' (1.000) =  73
  41 para: '0010111011111111010111001101110110101111100111110011011010111111111011011101111100111100111110110111' (1.000) =  72
  42 host: '1101010011110111111001111111101110110001101010111011010011110101111111110111111111001111111111101111' (0.900) =  75
  42 para: '0111111010111111000111011111110110101111101101011011011010111111110011011111111111111100111110110111' (1.000) =  76
  43 host: '1100010011110111111011111111101110110001101010111011010001111111111111110111111111001111111111111111' (1.000) =  77
  43 para: '1111011110101110111101100110111110001111101111011111010110101111110111111111100111010101111110011111' (1.000) =  75
  44 host: '1100010011110111111011111101111110110001101110111011010001111101111111110111111111001111111111111111' (1.000) =  77
  44 para: '0111111010111011100111011111110111101111101111011011011011111111010111011111111111111100111110110111' (1.000) =  79
  45 host: '1100011011110111111011111111101110110001101010111011010001111111111111111111111111001111111111111111' (1.000) =  79
  45 para: '0111111010111011100111011111110111101111101111011011011011111111010111011111111111111100111110110111' (1.000) =  79
  46 host: '1100011011111111111011111111101110111001101010111011010001111111111111111111111111001111111011111111' (0.900) =  80
  46 para: '0111111010111111000101011111110110101111101111111011011010111111111111011111111111111100111110110111' (1.000) =  79
  47 host: '1100011011111111111011111111101110111001101011111011010001111111110111111111111111001111111011111111' (1.000) =  80
  47 para: '0111111010111111100111011111111111101111101111111011011011111111010111011111111111111100111110110111' (1.000) =  82
  48 host: '1100011011111111111011111111111110111001101011111011010001111111110111111111111111001111111011111111' (1.000) =  81
  48 para: '0111111010111011110111011111110111101111101111111011011011111111110011011111111111111100111110110111' (1.000) =  81
  49 host: '1100111011111111111011111111111110111001101011111011010001111111110111111111111111001111111011111111' (1.000) =  82
  49 para: '0111111010111011110111011111110111101111101111011011011111111111110011011111111111111100111110110111' (1.000) =  81
  50 host: '1100011011110111111111111111111110111101101010111011010001111111111111111111111111001111011111111111' (0.900) =  82
  50 para: '0111111110111011110111011111110111101111111111011011011111111111000111111111111111111001111110110111' (1.000) =  83
  51 host: '1100111011111111111011111111111110111001101011111011010001111111111111110111111111001111111011111111' (0.800) =  82
  51 para: '0111111110111011110111011111110111101111111111011011011111111111000111111111111111111001111110110111' (1.000) =  83
